Date	Time	Day	Latitude	Longitude	 Altitude	 Distance
9/9/21	18:41:22	1	-27.396786	151.784073	435.829987	6.040512
9/9/21	18:42:26	1	-27.396797	151.784042	438.619995	3.270517
9/9/21	18:43:30	1	-27.396784	151.784058	432.799988	2.115021
9/9/21	18:44:36	1	-27.396818	151.783966	425.169983	9.811551
9/9/21	18:45:41	1	-27.396833	151.784042	450.709991	7.720737
9/9/21	18:46:48	1	-27.396847	151.784103	447.099976	6.205796
9/9/21	18:47:52	1	-27.396837	151.783981	435.079987	12.097761
9/9/21	18:48:57	1	-27.396816	151.784058	445.059998	7.88503
9/9/21	18:50:03	1	-27.396908	151.783966	447.25	13.613561
9/9/21	18:51:06	1	-27.396852	151.783951	438.48999	6.332325
9/9/21	18:52:10	1	-27.396801	151.784027	442.389984	9.461618
9/9/21	18:53:14	1	-27.396729	151.784058	427.48999	8.60405
9/9/21	18:54:16	1	-27.396662	151.784027	434.299988	8.011169
9/9/21	18:55:18	1	-27.396709	151.784103	426.919983	9.211098
9/9/21	18:56:20	1	-27.396694	151.784088	434.039978	2.268928
9/9/21	18:57:22	1	-27.396769	151.784119	433.209991	8.803024
9/9/21	18:58:24	1	-27.396719	151.784073	430.399994	7.129545
9/9/21	18:59:26	1	-27.396687	151.784073	425.579987	3.605487
9/9/21	19:00:31	1	-27.396713	151.784119	421.299988	5.407356
9/9/21	19:01:33	1	-27.396727	151.784103	428.429993	2.115022
9/9/21	19:02:36	1	-27.39665	151.784149	429.049988	9.612126
9/9/21	19:03:39	1	-27.396828	151.784073	454.559998	21.113329
9/9/21	19:04:44	1	-27.39674	151.784088	440.269989	9.871639
9/9/21	19:05:52	1	-27.396872	151.784042	443.25	15.315946
9/9/21	19:06:58	1	-27.396801	151.784042	439.5	7.847237
9/9/21	19:08:02	1	-27.396772	151.784058	424.73999	3.519942
9/9/21	19:09:04	1	-27.39682	151.784058	446.289978	5.302187
9/9/21	19:10:06	1	-27.396639	151.784149	426.160004	22.082736
9/9/21	19:11:08	1	-27.39673	151.784058	455.619995	13.61357
9/9/21	19:12:10	1	-27.396795	151.784058	451.910004	7.210975
9/9/21	19:13:12	1	-27.396799	151.784042	446.630005	1.564981
9/9/21	19:14:14	1	-27.396732	151.784042	451.099976	7.423062
9/9/21	19:15:16	1	-27.396618	151.784027	463.539978	12.814102
9/9/21	19:16:18	1	-27.396811	151.784042	457.759979	21.473739
9/9/21	19:17:20	1	-27.396753	151.784012	462.589996	7.039883
9/9/21	19:18:24	1	-27.396843	151.784027	445.23999	10.081295
9/9/21	19:19:27	1	-27.396666	151.784149	432.419983	23.114348
9/9/21	19:20:29	1	-27.396826	151.784073	445.449982	19.342124
9/9/21	19:21:31	1	-27.39683	151.784088	451.660004	1.56498
9/9/21	19:22:33	1	-27.396822	151.784103	455.369995	1.728854
9/9/21	19:23:35	1	-27.396793	151.784058	456.690002	5.526655
9/9/21	19:24:37	1	-27.396805	151.784058	450.009979	1.272525
9/9/21	19:25:39	1	-27.39683	151.784058	452.569977	2.757137
9/9/21	19:26:41	1	-27.396749	151.784119	464.699982	10.754279
9/9/21	19:27:43	1	-27.396801	151.784088	448.440002	6.470563
9/9/21	19:28:45	1	-27.39679	151.784119	458.679993	3.270517
9/9/21	19:29:49	1	-27.396791	151.784134	461.690002	1.521257
9/9/21	19:30:51	1	-27.396793	151.784103	454.789978	3.020256
9/9/21	19:31:56	1	-27.396664	151.784164	440.069977	15.630116
9/9/21	19:33:00	1	-27.396822	151.784088	453.289978	19.146955
9/9/21	19:34:06	1	-27.396832	151.784134	465.609985	4.641948
