Date	Time	Day	Latitude	Average_Lat	Longitude	Average_Long
9/9/21	21:06:01	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:02	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:03	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:04	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:05	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:06	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:07	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:08	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:08	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:11	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:12	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:13	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:14	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:15	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:16	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:17	1	-27.397461	151.782257	413.319977	0
9/9/21	21:06:18	1	-27.397528	151.782227	418.759979	8.011161
9/9/21	21:06:19	1	-27.397528	151.782227	419.98999	0
9/9/21	21:06:20	1	-27.397528	151.782211	420.410004	1.50639
9/9/21	21:06:21	1	-27.397528	151.782211	420.410004	0
9/9/21	21:06:22	1	-27.397524	151.782211	420.220001	0.424175
9/9/21	21:06:23	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:24	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:25	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:26	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:27	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:28	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:29	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:30	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:31	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:32	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:33	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:34	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:35	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:36	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:37	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:38	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:39	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:40	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:41	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:42	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:43	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:44	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:45	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:46	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:47	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:48	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:49	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:50	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:51	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:52	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:53	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:54	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:55	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:56	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:57	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:58	1	-27.397524	151.782211	420.220001	0
9/9/21	21:06:59	1	-27.397524	151.782211	420.220001	0
9/9/21	21:07:00	1	-27.397511	151.782196	423.179993	2.115014
9/9/21	21:07:01	1	-27.397509	151.782196	422.859985	0.212087
9/9/21	21:07:02	1	-27.397507	151.782211	422.639984	1.521247
9/9/21	21:07:03	1	-27.397505	151.782211	422.789978	0.212087
9/9/21	21:07:04	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:05	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:06	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:07	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:08	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:09	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:10	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:11	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:12	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:13	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:14	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:15	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:16	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:17	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:18	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:19	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:20	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:21	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:22	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:23	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:24	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:25	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:26	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:27	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:28	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:32	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:33	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:34	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:35	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:36	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:37	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:38	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:39	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:40	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:41	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:42	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:43	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:44	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:45	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:46	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:47	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:48	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:49	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:50	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:51	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:52	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:53	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:54	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:55	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:56	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:57	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:58	1	-27.397505	151.782211	422.789978	0
9/9/21	21:07:59	1	-27.397505	151.782211	422.789978	0
9/9/21	21:08:00	1	-27.397505	151.782211	422.789978	0
9/9/21	21:08:01	1	-27.397505	151.782211	422.789978	0
9/9/21	21:08:02	1	-27.397505	151.782211	422.789978	0
9/9/21	21:08:03	1	-27.397505	151.782211	422.789978	0
9/9/21	21:08:04	1	-27.397505	151.782211	422.789978	0
9/9/21	21:08:05	1	-27.397505	151.782211	422.789978	0
9/9/21	21:08:06	1	-27.397476	151.782196	428.179993	3.519938
9/9/21	21:08:07	1	-27.397478	151.782196	428.099976	0.212087
